in update mr0: q=0.50, mr0=0.88, mult0=0.06, mr1=0.0000, mult1=0.0000, spec_accs_cnt=1000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.90, mult0=0.05, mr1=0.0000, mult1=0.0000, spec_accs_cnt=2000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.91, mult0=0.04, mr1=0.0000, mult1=0.0000, spec_accs_cnt=3000, reg_accs_cnt=0
advertising
in update mr0: q=0.50, mr0=0.88, mult0=0.06, mr1=0.0010, mult1=0.0005, spec_accs_cnt=1000, reg_accs_cnt=93
in update mr0: q=0.04, mr0=0.91, mult0=0.09, mr1=0.0010, mult1=0.0000, spec_accs_cnt=2000, reg_accs_cnt=179
in update mr1: q=0.05, mr0=0.91, mult0=0.09, mr1=0.0008, mult1=0.0000, spec_accs_cnt=2000, reg_accs_cnt=1000
in update mr1: q=0.05, mr0=0.91, mult0=0.09, mr1=0.0006, mult1=0.0000, spec_accs_cnt=2000, reg_accs_cnt=2000
in update mr1: q=0.06, mr0=0.91, mult0=0.09, mr1=0.0004, mult1=0.0000, spec_accs_cnt=2000, reg_accs_cnt=3000
in update mr1: q=0.04, mr0=0.91, mult0=0.09, mr1=0.0151, mult1=0.0007, spec_accs_cnt=2000, reg_accs_cnt=4000
in update mr1: q=0.05, mr0=0.91, mult0=0.09, mr1=0.0538, mult1=0.0030, spec_accs_cnt=2000, reg_accs_cnt=5000
in update mr1: q=0.04, mr0=0.91, mult0=0.09, mr1=0.0681, mult1=0.0029, spec_accs_cnt=2000, reg_accs_cnt=6000
in update mr1: q=0.02, mr0=0.91, mult0=0.09, mr1=0.0993, mult1=0.0022, spec_accs_cnt=2000, reg_accs_cnt=7000
in update mr1: q=0.03, mr0=0.91, mult0=0.09, mr1=0.0972, mult1=0.0033, spec_accs_cnt=2000, reg_accs_cnt=8000
in update mr1: q=0.09, mr0=0.91, mult0=0.09, mr1=0.1132, mult1=0.0105, spec_accs_cnt=2000, reg_accs_cnt=9000
in update mr1: q=0.16, mr0=0.91, mult0=0.08, mr1=0.1701, mult1=0.0265, spec_accs_cnt=2000, reg_accs_cnt=10000
calling from mr1
advertising
in update mr0: q=0.18, mr0=0.85, mult0=0.12, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=548
in update mr1: q=0.19, mr0=0.85, mult0=0.12, mr1=0.0097, mult1=0.0019, spec_accs_cnt=1966, reg_accs_cnt=1000
in update mr0: q=0.19, mr0=0.85, mult0=0.12, mr1=0.0097, mult1=0.0019, spec_accs_cnt=2000, reg_accs_cnt=1008
in update mr0: q=0.19, mr0=0.85, mult0=0.12, mr1=0.0097, mult1=0.0019, spec_accs_cnt=3000, reg_accs_cnt=1462
in update mr0: q=0.19, mr0=0.85, mult0=0.12, mr1=0.0097, mult1=0.0019, spec_accs_cnt=4000, reg_accs_cnt=1906
in update mr1: q=0.19, mr0=0.85, mult0=0.12, mr1=0.0216, mult1=0.0042, spec_accs_cnt=4210, reg_accs_cnt=2000
in update mr0: q=0.19, mr0=0.86, mult0=0.11, mr1=0.0216, mult1=0.0042, spec_accs_cnt=5000, reg_accs_cnt=2305
in update mr0: q=0.17, mr0=0.89, mult0=0.09, mr1=0.0216, mult1=0.0036, spec_accs_cnt=6000, reg_accs_cnt=2486
in update mr1: q=0.17, mr0=0.89, mult0=0.09, mr1=0.0267, mult1=0.0046, spec_accs_cnt=6533, reg_accs_cnt=3000
